,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,,作成者,亀井
画面項目一覧表,,画面物理名,changePassword,,作成日,2026/7/23
,,画面論理名,ユーザーパスワード変更,,更新日,2026/4/22
,,,,,,
No.,DBテーブル名,カラム名,画面項目名,更新条件,備考,
1,m_user,jichitai_cd,ー,更新なし,,
2,m_user,id,ID,更新なし,,
3,m_user,password,"現在のパスワード
新しいパスワード
新しいパスワード(確認用)",現在のパスワードの入力値がDB保存値と一致し、かつ、新しいパスワードの入力値と新しいパスワード(確認用)の入力値が一致する場合のみ更新,,
4,m_user,name,ー,更新なし,,
5,m_user,name_kana,ー,更新なし,,
6,m_user,busho,ー,更新なし,,
7,m_user,role_id,ー,更新なし,,
8,m_user,del_flg,ー,更新なし,,
9,m_user,initial_password_flg,ー,更新なし,,
10,m_user,add_dt,ー,BaseEntity.javaで自動更新,,
11,m_user,add_user,ー,BaseEntity.javaで自動更新,,
12,m_user,upd_dt,ー,BaseEntity.javaで自動更新,,
13,m_user,upd_user,ー,BaseEntity.javaで自動更新,,
14,m_user,version,ー,BaseEntity.javaで自動更新,,
