,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
画面項目一覧表,,画面物理名,user_kensaku,作成日,2026/4/20,
,,画面論理名,ユーザー検索,更新日,,
,,,,,,
No.,項目名,DBテーブル,DBカラム,部品の種類,有効,備考
1,ID,m_user,id,テキストボックス,〇,
2,氏名,m_user,name,テキストボックス,〇,
3,ふりがな,m_user,name_kana,テキストボックス,〇,
4,部署,m_user,busho,テキストボックス,〇,
5,検索する,ー,ー,ボタン,〇,入力した検索条件で一覧を絞り込む
6,登録,ー,ー,ボタン,〇,ユーザー登録画面を表示する
7,編集,ー,ー,ボタン,〇,ユーザー編集画面を表示する
8,チェックボックス,ー,ー,チェックボックス,〇,
9,ID,m_user,id,テーブルカラム,×,
10,氏名,m_user,name,テーブルカラム,×,
11,ふりがな,m_user,name_kana,テーブルカラム,×,
12,部署,m_user,busho,テーブルカラム,×,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
