,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,,作成者,亀井
画面項目一覧表,,画面物理名,kofuRitsuConfig,,作成日,2026/6/24
,,画面論理名,交付率,,更新日,
,,,,,,
No.,DBテーブル名,カラム名,画面項目名,更新条件,備考,
1,m_kofu_ritsu,jichitai_cd,ー,ー,編集不可,
2,m_kofu_ritsu,rno,ー,ー,自動採番、最大値＋1,
3,m_kofu_ritsu,kofu_ritsu,交付率,ー,,
4,m_kofu_ritsu,tekiyo_st_ymd,適用期間(FROM),ー,,
5,m_kofu_ritsu,tekiyo_ed_ymd,適用期間(TO),ー,,
6,m_kofu_ritsu,new_flg,ー,ー,1が入っているレコードが最新となる,
7,m_kofu_ritsu,add_dt,ー,ー,BaseEntity.javaで自動更新,
8,m_kofu_ritsu,add_user,ー,ー,BaseEntity.javaで自動更新,
9,m_kofu_ritsu,upd_dt,ー,ー,BaseEntity.javaで自動更新,
10,m_kofu_ritsu,upd_user,ー,ー,BaseEntity.javaで自動更新,
11,m_kofu_ritsu,version,ー,ー,BaseEntity.javaで自動更新,
