,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,
画面項目一覧表,,画面物理名,shoreikinRenkei,作成日,2026/5/19,,
,,画面論理名,交付金振込情報連携,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,対象年度,情報検索エリア,t_shoreikin,nendo,カレンダー,〇,
2,指定番号,情報検索エリア,t_shoreikin,shitei_no,テキストボックス,〇,
3,氏名/名称,情報検索エリア,m_atena,name,テキストボックス,〇,
4,検索する,情報検索エリア,ー,ー,ボタン,〇,
5,照会,ボタンエリア,ー,ー,ボタン,〇,チェックの入ったレコードの出力情報照会ページを開く
6,csv出力,ボタンエリア,ー,ー,ボタン,〇,チェックの入ったレコードのcsvファイルを出力する
7,チェックボックス,交付情報エリア,ー,ー,チェックボックス,〇,"テーブルヘッダーのボックスで全件選択と解除が可能
各レコード前のチェックボックスで1件ずつの選択、解除が可能"
8,指定番号,交付情報エリア,t_shoreikin,shitei_no,テーブルカラム,×,
9,宛名番号,交付情報エリア,m_atena,atena_no,テーブルカラム,×,
10,氏名/名称,交付情報エリア,m_atena,name,テーブルカラム,×,
11,対象年度,交付情報エリア,t_shoreikin,nendo,テーブルカラム,×,
12,交付額,交付情報エリア,t_shoreikin,kofu_gaku,テーブルカラム,×,
13,交付年月日,交付情報エリア,t_shoreikin,kofu_ymd,テーブルカラム,×,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
