,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,
画面項目一覧表,,画面物理名,shunoRenkei,作成日,2026/5/19,,
,,画面論理名,収納管理連携,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,申告日(開始日),情報検索エリア,t_fuka,shinkoku_ymd,カレンダー,〇,
2,申告日(終了日),情報検索エリア,t_fuka,shinkoku_ymd,カレンダー,〇,
3,対象月,情報検索エリア,t_fuka,taisho_ym,カレンダー,〇,
4,指定番号,情報検索エリア,t_fuka,shitei_no,テキストボックス,〇,
5,氏名/名称,情報検索エリア,m_atena,name,テキストボックス,〇,
6,検索する,情報検索エリア,ー,ー,ボタン,〇,
7,照会,ボタンエリア,ー,ー,ボタン,〇,チェックの入ったレコードの出力情報照会ページを開く
8,csv出力,ボタンエリア,ー,ー,ボタン,〇,チェックの入ったレコードのcsvファイルを出力する
9,チェックボックス,収納情報エリア,ー,ー,チェックボックス,〇,"テーブルヘッダーのボックスで全件選択と解除が可能
各レコード前のチェックボックスで1件ずつの選択、解除が可能"
10,指定番号,収納情報エリア,t_fuka,shitei_no,テーブルカラム,×,
11,宛名番号,収納情報エリア,m_atena,atena_no,テーブルカラム,×,
12,氏名/名称,収納情報エリア,m_atena,name,テーブルカラム,×,
13,対象年月,収納情報エリア,t_fuka,taisho_ym,テーブルカラム,×,
14,宿泊税額,収納情報エリア,t_fuka,total_zeigaku,テーブルカラム,×,
15,登録年月日,収納情報エリア,t_fuka,toroku_ymd,テーブルカラム,×,
16,申告年月日,収納情報エリア,t_fuka,shinkoku_ymd,テーブルカラム,×,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
