,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井
画面項目一覧表,,画面物理名,shunoRenkei,作成日,2026/5/19
,,画面論理名,収納管理連携,更新日,
,,,,,
No.,DBテーブル名,カラム名,出力カラム名,備考,
1,m_atena,atena_no,宛名番号,,
2,t_fuka,nendo,賦課年度,,
3,t_fuka,kibetsu,期別,,
4,t_fuka,toroku_ymd,登録年月日,,
5,t_fuka,shinkoku_ymd,申告年月日,,
6,t_fuka,taisho_ym,対象年月,,
7,t_fuka,total_zeigaku,合計税額,,
8,t_fuka,city_zeigaku,市区町村税額,,
9,t_fuka,ken_zeigaku,都道府県税額,,
10,t_fuka,kasan_kbn,加算金額区分,"登録値によって以下のいずれかを出力
1:過少申告加算金/2:不申告加算金/3:重加算金",
11,t_fuka,kasan_ritsu,加算割合,,
12,t_fuka,kasan_gaku,加算金額,,
13,t_fuka,nokigen,納期限,,
