,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,
画面項目一覧表,,画面物理名,gassanConfig,作成日,2026/6/16,,
,,画面論理名,合算申告情報登録/編集(照会)画面,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,登録日,申告情報エリア,t_gassan,toroku_ymd,カレンダー,〇,
2,申告日,申告情報エリア,t_gassan,shinkoku_ymd,カレンダー,〇,
3,宛名検索,申告情報エリア,ー,ー,ボタン,〇,"宛名検索モーダルを表示する
選択した宛名に紐づく徴収義務者を一覧に表示する"
4,合算指定番号,申告情報エリア,t_gassan,gassan_shitei_no,テキストボックス,×,編集、照会画面のみ表示
5,適用時期(FROM),申告情報エリア,t_gassan,tekiyo_st_ymd,カレンダー,〇,
6,適用時期(TO),申告情報エリア,t_gassan,tekiyo_ed_ymd,カレンダー,〇,
7,チェックボックス,徴収義務者一覧エリア,ー,ー,チェックボックス,〇,
8,代表施設,徴収義務者一覧エリア,ー,ー,チェックボックス,〇,
9,徴収義務者名,徴収義務者一覧エリア,ー,ー,テーブルカラム,×,
10,施設名,徴収義務者一覧エリア,ー,ー,テーブルカラム,×,
11,登録する,ー,ー,ー,ボタン,〇,登録画面のみで表示
12,更新する,ー,ー,ー,ボタン,〇,編集画面のみで表示
13,編集する,ー,ー,ー,ボタン,〇,照会画面のみで表示
14,一覧に戻る,ー,ー,ー,ボタン,〇,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
