,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,,作成者,亀井
画面項目一覧表,,画面物理名,gassanConfig,,作成日,2026/6/16
,,画面論理名,合算申告情報登録/編集(照会)画面,,更新日,
,,,,,,
No.,DBテーブル名,カラム名,画面項目名,更新条件,備考,
1,t_gassan,jichitai_cd,ー,,特別徴収義務者情報の自治体コード,
2,t_gassan,gassan_shitei_no,ー,,自動採番,
3,t_gassan,rno,ー,編集するたびにインクリメントする,,
4,t_gassan,toroku_ymd,登録日,,,
5,t_gassan,shinkoku_ymd,申告日,,,
6,t_gassan,atena_no,ー,,宛名検索モーダルで選択した宛名番号,
7,t_gassan,shitei_no,代表施設,,,
8,t_gassan,tekiyo_st_ymd,適用期間(FROM),,,
9,t_gassan,tekiyo_ed_ymd,適用期間(TO),,,
10,t_gassan,new_flg,ー,,,
11,t_gassan,del_flg,ー,,,
12,t_gassan,add_dt,ー,,編集不可,
13,t_gassan,add_user,ー,,ユーザ管理マスタのid、編集不可,
14,t_gassan,upd_dt,ー,,,
15,t_gassan,upd_user,ー,,ユーザ管理マスタのid,
16,t_gassan,version,ー,,,
17,t_gassan_uchi,jichitai_cd,ー,徴収義務者一覧のチェック数分作成,特別徴収義務者情報の自治体コード,
18,t_gassan_uchi,gassan_shitei_no,ー,ー,合算申告納入情報の合算指定番号,
19,t_gassan_uchi,rno,ー,,合算申告納入情報の履歴番号,
20,t_gassan_uchi,shitei_no,ー,ー,特別徴収義務者情報の指定番号,
21,t_gassan_uchi,add_dt,ー,ー,,
22,t_gassan_uchi,add_user,ー,ー,ユーザ管理マスタのid、編集不可,
23,t_gassan_uchi,upd_dt,ー,ー,,
24,t_gassan_uchi,upd_user,ー,ー,ユーザ管理マスタのid,
25,t_gassan_uchi,version,ー,ー,,
