,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
画面項目一覧表,,画面物理名,gassanDaicho,作成日,2026/6/17,
,,画面論理名,合算申告情報管理台帳,更新日,,
,,,,,,
No.,項目名,DBテーブル,DBカラム,部品の種類,有効,備考
1,合算指定番号,t_gassan,gassan_shitei_no,テキストボックス,〇,
2,代表指定番号,t_gassan,shitei_no,テキストボックス,〇,
3,氏名/名称,m_atena,name,テキストボックス,〇,名前に紐づくatena_noと一致するt_gassanテーブルの情報を表示する
4,検索する,ー,ー,ボタン,〇,入力した検索条件で一覧を絞り込む
5,リセット,ー,ー,ボタン,〇,入力した検索条件を破棄する
6,照会,ー,ー,ボタン,〇,チェックの入ったレコードの合算申告情報照会画面を表示する
7,チェックボックス,ー,ー,チェックボックス,〇,
8,合算指定番号,t_gassan,gassan_shitei_no,テーブルカラム,×,
9,代表施設,t_gassan,shitei_no,テーブルカラム,×,代表指定番号に紐づく施設名称を表示する
10,指定番号,t_tokugimu,shitei_no,テーブルカラム,×,
11,氏名/名称,m_atena,name,テーブルカラム,×,特別徴収義務者の氏名/名称
,,,,,,
,,,,,,
,,,,,,
,,,,,,
