,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,
画面項目一覧表,,画面物理名,atenaInsert,作成日,2026/5/13,,
,,画面論理名,宛名取込,更新日,,,
,,,,,,,
No.,項目名,エリア名,DBテーブル,DBカラム,部品の種類,有効,備考
1,ファイル選択,ファイル選択エリア,ー,ー,ボタン,〇,取込ファイル選択ダイアログを開く
2,内容取込,ファイル選択エリア,ー,ー,ボタン,〇,選択したファイルの内容を取り込む
3,ファイル名,取込済みファイル一覧エリア,t_atena_renkei,file_name,テーブルカラム,×,
4,処理日時,取込済みファイル一覧エリア,t_atena_renkei,shori_dt,テーブルカラム,×,
5,処理件数,取込済みファイル一覧エリア,t_atena_renkei,shori_kensu,テーブルカラム,×,
6,備考,取込済みファイル一覧エリア,t_atena_renkei,"shinki_kensu
koshin_kensu",テーブルカラム,×,新規件数、更新件数を表示
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
