,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,,作成者,亀井
画面項目一覧表,,画面物理名,atenaInsert,,作成日,2026/5/13
,,画面論理名,宛名取込,,更新日,
,,,,,,
No.,DBテーブル名,カラム名,CSV項目名,更新条件,備考,
1,m_atena,jichitai_cd,ー,ー,自治体コード,
2,m_atena,atena_no,宛名番号,ー,,
3,m_atena,kbn,ー,取り込む番号が個人か法人かで登録値を分岐する,1：個人/2：法人,
4,m_atena,kojin_no,個人番号,取込対象が個人の場合に登録する,マイナンバー、hash値で保存,
5,m_atena,hojin_no,法人番号,取込対象が法人の場合に登録する,,
6,m_atena,name,氏名/名称,ー,,
7,m_atena,name_kana,ふりがな,ー,,
8,m_atena,yubin_no,郵便番号,ー,,
9,m_atena,jusho,住所,ー,,
10,m_atena,tel1,電話番号,ー,,
11,m_atena,tel2,電話番号,取込対象の電話番号が2つの場合に２つ目の番号を登録する,,
12,m_atena,add_dt,ー,ー,,
13,m_atena,add_user,ー,ー,ユーザー管理マスタのユーザID,
14,m_atena,upd_dt,ー,ー,,
15,m_atena,upd_user,ー,ー,ユーザー管理マスタのユーザID,
16,m_atena,version,ー,ー,,
17,t_atena_renkei,jichitai_cd,ー,ー,自治体コード,
18,t_atena_renkei,seq,ー,ー,,
19,t_atena_renkei,file_name,ー,ー,取り込んだcsvファイルのファイル名,
20,t_atena_renkei,shori_kensu,ー,取り込んだ宛名の件数を登録する,,
21,t_atena_renkei,shinki_kensu,ー,取り込んだ新規の宛名の件数を登録する,,
22,t_atena_renkei,koshin_kensu,ー,取り込んだ更新の宛名の件数を登録する,,
23,t_atena_renkei,add_dt,ー,ー,,
24,t_atena_renkei,add_user,ー,ー,ユーザー管理マスタのユーザID,
25,t_atena_renkei,upd_dt,ー,ー,,
26,t_atena_renkei,upd_user,ー,ー,ユーザー管理マスタのユーザID,
27,t_atena_renkei,version,ー,ー,,
