,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
画面項目一覧表,,画面物理名,atena_kensaku,作成日,2026/4/20,
,,画面論理名,宛名検索モーダル,更新日,,
,,,,,,
No.,項目名,DBテーブル,DBカラム,部品の種類,有効,備考
1,宛名番号,m_atena,atena_no,テキストボックス,〇,検索したい宛名の宛名番号を入力する
2,氏名(名称),m_atena,"name
name_kana",テキストボックス,〇,検索したい宛名の氏名(名称)を入力する
3,住所(所在地 ),m_atena,jusho,テキストボックス,〇,検索したい宛名の住所(所在地)を入力する
4,電話番号,m_atena,"tel1
tel2",テキストボックス,〇,検索したい宛名の電話番号を入力する
5,個人番号,m_atena,kojin_no,テキストボックス,〇,検索したい宛名の個人番号を入力する
6,法人番号,m_atena,hojin_no,テキストボックス,〇,検索したい宛名の法人番号を入力する
7,検索する,ー,ー,ボタン,〇,入力した条件に一致する情報をm_atenaから検索、結果を表示する
8,閉じる,ー,ー,ボタン,〇,宛名検索モーダルを閉じる
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
