,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,
画面項目一覧表,,画面物理名,atenaConfig,作成日,2026/7/22,,
,,画面論理名,宛名登録/編集/照会,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,宛名番号,ー,ー,ー,テキストボックス,×,"自動採番
m_jichitaiのatena_st_noから採番を始める"
2,個人番号,ー,ー,ー,テキストボックス,〇,
3,法人番号,ー,ー,ー,テキストボックス,〇,
4,氏名/名称,ー,ー,ー,テキストボックス,○,
5,ふりがな,ー,ー,ー,テキストボックス,〇,
6,郵便番号,ー,ー,ー,テキストボックス,〇,
7,住所,ー,ー,ー,テキストボックス,〇,
8,電話番号1,ー,ー,ー,テキストボックス,〇,
9,電話番号2,ー,ー,ー,テキストボックス,○,
10,登録する,ー,ー,ー,ボタン,〇,登録画面のみで表示
11,更新する,ー,ー,ー,ボタン,〇,編集画面のみで表示
12,編集する,ー,ー,ー,ボタン,〇,照会画面のみで表示
13,一覧に戻る,ー,ー,ー,ボタン,〇,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
