,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
画面項目一覧表,,画面物理名,atenaDaicho,作成日,2026/5/13,
,,画面論理名,宛名管理台帳,更新日,,
,,,,,,
No.,項目名,DBテーブル,DBカラム,部品の種類,有効,備考
1,宛名番号,m_atena,atena_no,テキストボックス,〇,
2,氏名/名称,m_atena,name,テキストボックス,〇,
3,ふりがな,m_atena,name_kana,テキストボックス,〇,
4,郵便番号,m_atena,yubin_no,テキストボックス,〇,
5,住所,m_atena,jusho,テキストボックス,〇,
6,電話番号,m_atena,"tel1,tel2",テキストボックス,〇,
7,個人番号,m_atena,kojin_no,テキストボックス,〇,
8,法人番号,m_atena,hojin_no,テキストボックス,〇,
9,検索する,ー,ー,ボタン,〇,入力した検索条件で一覧を絞り込む
10,リセット,ー,ー,ボタン,〇,入力した検索条件を破棄する
11,宛名番号,m_atena,atena_no,テーブルカラム,×,
12,氏名/名称,m_atena,name,テーブルカラム,×,
13,ふりがな,m_atena,name_kana,テーブルカラム,×,
14,法人番号,m_atena,hojin_no,テーブルカラム,×,宛名が法人の場合に番号を表示する
15,"郵便番号
住所",m_atena,"yubin_no
jusho",テーブルカラム,×,
16,電話番号,m_atena,"tel1
tel2",テーブルカラム,×,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
