,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
帳票項目一覧表,,帳票物理名,kofuKetteiTsuchi,作成日,2026/6/12,
,,帳票論理名,宿泊税特別徴収事務交付金交付決定通知書,更新日,,
,,,,,,
No.,項目名,フィールド名,DBテーブル,DBカラム,型,備考
1,発行様式,hakkoYoshiki,m_reports_def,def_data,String,
2,発行年月日,hakkoYmd,ー,ー,ー,画面入力値
3,交付年月日,kofuYmd,t_shoreikin,kofu_ymd,String,
4,市区町村名,cityName,m_jichitai,name,String,
5,条令,hakkoJorei,m_reports_def,def_data,String,
6,施設住所,shisetsuJusho,t_tokugimu,"shisets_yubin_no
shisetsu_jusho",String,郵便番号と住所を連結して設定
7,施設名称,shisetsuName,t_tokugimu ,shisetsu_name,String,
8,指定番号,shiteiNo,t_tokugimu,shitei_no,String,
9,交付決定額,kofugaku,t_shoreikin,kofu_gaku,String,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
