,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
帳票項目一覧表,,帳票物理名,nozeiKanriShoninTsuchi,作成日,2026/5/27,
,,帳票論理名,納税管理人承認(不承認)通知書,更新日,,
,,,,,,
No.,項目名,フィールド名,DBテーブル,DBカラム,型,備考
1,発行日,hakkoYmd,ー,ー,String,画面入力値を設定
2,市区町村名,cityName,ー,ー,String,application.ymlから取得
3,条令,jorei,ー,ー,String,application.ymlから取得
4,特別徴収義務者住所,tokuJusho,m_atena,"yubin_no
jusho",String,郵便番号と住所を連結して設定
5,特別徴収義務者名,tokuName,m_atena,name,String,
6,所在地,shisetsuJusho,t_tokugimu,"shisetsu_yubin_no
shisetsu_jusho",String,郵便番号と住所を連結して設定
7,名称,shisetsuName,t_tokugimu,shisetsu_name,String,
8,納税管理人住所,nozeiKanriJusho,t_nokan,"yubin_no
jusho",String,郵便番号と住所を連結して設定
9,納税管理人名,nozeiKanriName,t_nokan,name,String,
10,理由,riyu,ー,ー,String,画面入力値を設定
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
