,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,斉藤,,
画面項目一覧表,,画面物理名,rpt_log_view,作成日,2026/7/13,,
,,画面論理名,帳票ログ照会,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,帳票名,抽出条件エリア,t_reports_log,rpt_id,セレクトボックス,〇,m_reportsのrpt_nameをプルダウンで選択
2,操作,抽出条件エリア,t_reports_log,sousa,セレクトボックス,〇,1:PDF、2:プレビュー、3:印刷をプルダウンで選択
3,印刷者,抽出条件エリア,t_reports_log,ope_user,テキストボックス,〇,前方一致
4,印刷日時,抽出条件エリア,t_reports_log,ope_dt,カレンダー,〇,日時を範囲で指定
5,指定番号,抽出条件エリア,t_reports_log,shitei_no,テキストボックス,〇,完全一致
6,リセット,抽出条件エリア,t_reports_log,ー,ボタン,〇,抽出条件エリアを初期化する
7,検索,抽出条件エリア,t_reports_log,ー,ボタン,〇,抽出条件エリアの条件で検索する
8,帳票名,帳票ログ一覧,t_reports_log,rpt_id,テキストボックス,〇,m_reportsをrpt_idで検索してrpt_nameを表示
9,操作,帳票ログ一覧,t_reports_log,sousa,テキストボックス,〇,1:PDF、2:プレビュー、3:印刷に変換して表示
10,印刷者,帳票ログ一覧,t_reports_log,ope_user,テキストボックス,〇,
11,印刷日時,帳票ログ一覧,t_reports_log,ope_dt,テキストボックス,〇,
12,指定番号,帳票ログ一覧,t_reports_log,shitei_no,テキストボックス,〇,

