,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,斉藤,,
画面項目一覧表,,画面物理名,t_furikomi_koza,作成日,2026/4/30,,
,,画面論理名,振込先口座照会／登録／編集,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,指定番号,特別徴収義務者エリア,t_furikomi_koza,shitei_no,テキストボックス,×,"処理対象の特別徴収義務者の指定番号
リードオンリー"
2,施設名称,特別徴収義務者エリア,t_tokugimu,shisetsu_name,テキストボックス,×,"処理対象の特別徴収義務者の施設名称
リードオンリー"
3,氏名,特別徴収義務者エリア,m_atena,name,テキストボックス,×,"処理対象の特別徴収義務者の氏名
リードオンリー"
4,金融機関コード,振込先口座情報エリア,bank_cd,nendo,テキストボックス,△,"金融機関コードを入力する
照会画面ではリードオンリー"
5,金融機関名,振込先口座情報エリア,bank_name,nendo,テキストボックス,△,"金融機関名を入力する
照会画面ではリードオンリー"
6,支店コード,振込先口座情報エリア,branch_cd,nendo,テキストボックス,△,"支店コードを入力する
照会画面ではリードオンリー"
7,支店名,振込先口座情報エリア,branch_name,nendo,テキストボックス,△,"支店名を入力する
照会画面ではリードオンリー"
8,預金種目,振込先口座情報エリア,shumoku,nendo,テキストボックス,△,"預金種目を選択する
1：普通/2：当座
照会画面ではリードオンリー"
9,口座番号,振込先口座情報エリア,koza_no,kofu_zeigaku,テキストボックス,△,"口座番号を入力する
照会画面ではリードオンリー"
10,口座名義,振込先口座情報エリア,meigi,kofu_ritsu,テキストボックス,△,"口座名義を入力する
照会画面ではリードオンリー"
11,登録する,ー,ー,ー,ボタン,△,"入力した情報を登録し、特別徴収事務交付金画面に戻る
このボタンは登録画面でのみ表示される"
12,更新する,ー,ー,ー,ボタン,△,"入力した情報を更新し、特別徴収事務交付金画面に戻る
このボタンは編集画面でのみ表示される"
13,編集する,ー,ー,ー,ボタン,△,"編集画面を表示する
このボタンは照会画面でのみ表示される"
14,戻る,ー,ー,ー,ボタン,〇,入力した情報を破棄し、特別徴収事務交付金画面に戻る
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
