,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,斉藤,,
画面項目一覧表,,画面物理名,ope_log_view,作成日,2026/7/1,,
,,画面論理名,操作ログ照会,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,画面名,抽出条件エリア,t_operation_log,screen_id,セレクトボックス,〇,m_screenのscreen_nameをプルダウンで選択
2,操作,抽出条件エリア,t_operation_log,sousa,テキストボックス,〇,部分一致
3,操作者,抽出条件エリア,t_operation_log,ope_user,テキストボックス,〇,前方一致
4,操作日時,抽出条件エリア,t_operation_log,ope_dt,カレンダー,〇,日時を範囲で指定
5,任意項目,抽出条件エリア,t_operation_log,param,テキストボックス,〇,部分一致
6,リセット,抽出条件エリア,ー,ー,ボタン,〇,抽出条件エリアを初期化する
7,検索,抽出条件エリア,ー,ー,ボタン,〇,抽出条件エリアの条件で検索する
8,画面名,操作ログ一覧,t_operation_log,screen_id,テキストボックス,〇,m_screenをscreen_idで検索してscreen_nameを表示
9,操作,操作ログ一覧,t_operation_log,sousa,テキストボックス,〇,
10,操作者,操作ログ一覧,t_operation_log,ope_user,テキストボックス,〇,
11,操作日時,操作ログ一覧,t_operation_log,ope_dt,テキストボックス,〇,
12,パラメータ,操作ログ一覧,t_operation_log,param,テキストボックス,〇,json形式で格納されているため、整形して表示
