,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,,作成者,亀井
画面項目一覧表,,画面物理名,m_role_config,,作成日,2026/4/22
,,画面論理名,権限登録/編集/照会,,更新日,
,,,,,,
No.,DBテーブル名,カラム名,画面項目名,更新条件,備考,
1,m_role,jichitai_cd,ー,ー,編集不可,
2,m_role,role_id,ー,ー,自動採番、編集不可,
3,m_role,name,権限名,ー,,
4,m_role,add_user,ー,ー,ユーザ管理マスタのid,
5,m_role,upd_dt,ー,ー,,
6,m_role,upd_user,ー,ー,ユーザ管理マスタのid,
7,m_role,version,ー,ー,,
8,m_role_dtl,jichitai_cd,ー,ー,編集不可,
9,m_role_dtl,role_id,ー,ー,権限管理マスタのrole_id,
10,m_role_dtl,screen_id,権限詳細,ー,画面管理マスタのscreen_id,
11,m_role_dtl,permission,ー,ー,1：参照/2：更新で権限の許可範囲を表す,
12,m_role_dtl,add_user,ー,ー,ユーザ管理マスタのid,
13,m_role_dtl,upd_dt,ー,ー,,
14,m_role_dtl,upd_user,ー,ー,ユーザ管理マスタのid,
15,m_role_dtl,version,ー,ー,,
