,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
画面項目一覧表,,画面物理名,m_role_daicho,作成日,2026/4/22,
,,画面論理名,権限管理台帳,更新日,,
,,,,,,
No.,項目名,DBテーブル,DBカラム,部品の種類,有効,備考
1,チェックボックス,ー,ー,チェックボックス,〇,
2,権限ID,m_role,role_id,テーブルカラム,×,
3,権限名,m_role,name,テーブルカラム,×,
4,権限詳細,m_role_dtl,screen_id,テーブルカラム,×,"権限で操作可能な画面名称を表示する
m_screenのscreen_id,screen_nameを参照する"
5,新規登録,ー,ー,ボタン,〇,権限登録モーダルを表示する
6,権限編集,ー,ー,ボタン,〇,チェックの入ったレコードの権限編集モーダルを表示する
7,権限照会,ー,ー,ボタン,〇,チェックの入ったレコードの権限照会モーダルを表示する
8,付与ユーザー照会,ー,ー,ボタン,〇,チェックの入ったレコードの権限付与ユーザー一覧画面を表示する
,,,,,,
,,,,,,
,,,,,,
,,,,,,
