,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,斉藤,,
画面項目一覧表,,画面物理名,t_shoreikin,作成日,2026/4/30,,
,,画面論理名,特別徴収事務交付金,更新日,2026/5/25,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,交付金年度,抽出条件エリア,t_shoreikin,nendo,テキストボックス,〇,
2,交付金算出有無,抽出条件エリア,t_shoreikin,ー,セレクトボックス,〇,1：算出有/2：算出無/999：すべて
3,指定番号,抽出条件エリア,t_tokugimu,shitei_no,テキストボックス,〇,
4,氏名／名称,抽出条件エリア,m_atena,name,テキストボックス,〇,
5,施設名称,抽出条件エリア,t_tokugimu,shisetsu_name,テキストボックス,〇,
6,営業種別,抽出条件エリア,t_tokugimu,kyoka_shu,セレクトボックス,〇,1：ホテル/2：旅館/3：簡易宿所/4：民泊/999：すべて
7,合算対象,抽出条件エリア,t_gassan_uchi,"shitei_no
gassan_shitei_no",セレクトボックス,〇,1：非対象/2：対象/999：すべて
8,ステータス,抽出条件エリア,t_tokugimu,"eigyo_st_ymd
eigyo_ed_ymd
kyushi_st_ymd
kyushi_ed_ymd",セレクトボックス,〇,1：営業中/2：休止/3：廃止/999：すべて
9,個人番号,抽出条件エリア,m_atena,kojin_no,テキストボックス,〇,
10,法人番号,抽出条件エリア,m_atena,hojin_no,テキストボックス,〇,
11,検索,抽出条件エリア,ー,ー,ボタン,〇,入力した検索条件で一覧を絞り込む
12,チェックボックス,情報一覧エリア,ー,ー,チェックボックス,〇,
13,指定番号,情報一覧エリア,t_tokugimu,shitei_no,テキストボックス,×,リードオンリー
14,施設名称,情報一覧エリア,t_tokugimu,shisetsu_name,テキストボックス,×,リードオンリー
15,氏名,情報一覧エリア,m_atena,name,テキストボックス,×,リードオンリー
16,交付年度,情報一覧エリア,t_shoreikin,nendo,テキストボックス,×,リードオンリー
17,交付額,情報一覧エリア,t_shoreikin,kofu_gaku,テキストボックス,×,リードオンリー
18,交付年月日,情報一覧エリア,t_shoreikin,kofu_ymd,テキストボックス,×,リードオンリー
19,一括算出,ー,ー,ー,ボタン,〇,各特別徴収義務者の交付金を一括で算出する
20,交付金照会,ー,ー,ー,ボタン,〇,チェックした特別徴収義務者の特別徴収義務交付金照会画面を表示する
21,口座照会,ー,ー,ー,ボタン,〇,チェックした特別徴収義務者の振込先口座照会画面を表示する
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
