,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,斉藤,,
画面項目一覧表,,画面物理名,t_shoreikin_calc_bulk,作成日,2026/4/30,,
,,画面論理名,特別徴収事務交付金一括算出,更新日,2026/5/25,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,交付金年度,対象条件エリア,ー,ー,テキストボックス,〇,処理対象の年度を入力する
2,交付率,対象条件エリア,ー,ー,テキストボックス,〇,交付率を入力する
3,チェックボックス,対象条件エリア,ー,ー,チェックボックス,〇,算出済みを含める
4,一括算出実行,対象条件エリア,ー,ー,ボタン,〇,チェックした特別徴収義務者の振込先口座照会画面を表示する
5,対象件数,処理結果エリア,ー,ー,テキストボックス,ー,"対象年度の賦課情報が存在する特別徴収義務者の件数
リードオンリー"
6,スキップ件数,処理結果エリア,ー,ー,テキストボックス,ー,"算出済みのため、スキップした件数
リードオンリー"
7,成功件数,処理結果エリア,ー,ー,テキストボックス,ー,"成功した件数
リードオンリー"
8,失敗件数,処理結果エリア,ー,ー,テキストボックス,ー,"失敗した件数
リードオンリー"
,,,,,,,
