,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,,作成者,斉藤
画面項目一覧表,,画面物理名,t_shoreikin_calc_bulk,,作成日,2026/4/30
,,画面論理名,特別徴収事務交付金一括算出,,更新日,
,,,,,,
No.,DBテーブル名,カラム名,画面項目名,更新条件,備考,
1,t_shoreikin,jichitai_cd,ー,,自治体コード,
2,t_shoreikin,shitei_no,ー,,特別徴収義務者の指定番号,
3,t_shoreikin,nendo,交付金年度,,,
4,t_shoreikin,kofu_zeigaku,ー,,交付金年度の賦課情報の合計税額を特別徴収義務者ごとに集計,
5,t_shoreikin,kofu_ritsu,ー,,交付率,
6,t_shoreikin,kofu_gaku,ー,,交付税額に交付率をかけて算出,
7,t_shoreikin,kofu_ymd,ー,,,
8,t_shoreikin,add_dt,ー,,システム日付,
9,t_shoreikin,add_user,ー,,ログインユーザID,
10,t_shoreikin,upd_dt,ー,,システム日付,
11,t_shoreikin,upd_user,ー,,ログインユーザID,
12,t_shoreikin,version,ー,,1を設定,
