,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,斉藤,,
画面項目一覧表,,画面物理名,t_shoreikin_dtl,作成日,2026/4/30,,
,,画面論理名,特別徴収事務交付金照会／登録／編集,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,指定番号,特別徴収義務者エリア,t_shoreikin,shitei_no,テキストボックス,×,"処理対象の特別徴収義務者の指定番号
リードオンリー"
2,施設名称,特別徴収義務者エリア,t_tokugimu,shisetsu_name,テキストボックス,×,"処理対象の特別徴収義務者の施設名称
リードオンリー"
3,氏名,特別徴収義務者エリア,m_atena,name,テキストボックス,×,"処理対象の特別徴収義務者の氏名
リードオンリー"
4,交付金年度,交付金情報エリア,t_shoreikin,nendo,テキストボックス,△,"交付金年度を入力する
照会画面ではリードオンリー"
5,納入税額,交付金情報エリア,t_shoreikin,kofu_zeigaku,テキストボックス,△,"該当年度の納入税額を入力する
算出ボタンをクリックすると自動入力される
照会画面ではリードオンリー"
6,交付率,交付金情報エリア,t_shoreikin,kofu_ritsu,テキストボックス,△,"交付率を入力する
算出ボタンをクリックすると自動入力される
照会画面ではリードオンリー"
7,交付額,交付金情報エリア,t_shoreikin,kofu_gaku,テキストボックス,△,"交付額を入力する
算出ボタンをクリックすると自動入力される
照会画面ではリードオンリー"
8,算出,交付金情報エリア,ー,ー,ボタン,△,"納入税額、交付率、交付額を算出する
このボタンは登録／編集画面でのみ表示される"
9,登録する,ー,ー,ー,ボタン,△,"入力した情報を登録し、特別徴収事務交付金画面に戻る
このボタンは登録画面でのみ表示される"
10,更新する,ー,ー,ー,ボタン,△,"入力した情報を更新し、特別徴収事務交付金画面に戻る
このボタンは編集画面でのみ表示される"
11,編集する,ー,ー,ー,ボタン,△,"編集画面を表示する
このボタンは照会画面でのみ表示される"
12,戻る,ー,ー,ー,ボタン,〇,入力した情報を破棄し、特別徴収事務交付金画面に戻る
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
