,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
画面項目一覧表,,画面物理名,shiteiGassanSearch,作成日,2026/7/7,
,,画面論理名,特別徴収義務者指定モーダル,更新日,,
,,,,,,
No.,項目名,DBテーブル,DBカラム,部品の種類,有効,備考
1,指定番号,"t_tokugimu
t_gassan_uchi",shitei_no,テキストボックス,〇,"検索したい指定番号を入力する
完全一致検索
t_gassan_uchiを検索し、該当するshitei_noを持つgassan_shitei_noでt_gassanを検索、該当の情報を出力する"
2,合算指定番号,"t_gassan
t_gassan_uchi",gassan_shitei_no,テキストボックス,〇,"検索したい合算指定番号を入力する
完全一致検索
t_gassan_uchiを検索し、該当するgassan_shitei_noを持つshitei_noでt_tokugimuを検索、該当の情報を出力する"
3,氏名/名称,m_atena,name,テキストボックス,〇,"検索したい氏名/名称を入力する
前方一致、部分一致、完全一致を任意に切り替えられるようにする
m_atenaを検索し、該当するnameを持つatena_noでt_tokugimuを検索、該当の情報を出力する"
4,施設名称,,,テキストボックス,〇,"検索したい施設名称を入力する
前方一致、部分一致、完全一致を任意に切り替えられるようにする"
5,個人番号,m_atena,kojin_no,テキストボックス,〇,"検索したい宛名の個人番号を入力する
完全一致検索
m_atenaを検索し、該当するkojin_noを持つatena_noでt_tokugimuを検索、該当の情報を出力する"
6,法人番号,m_atena,hojin_no,テキストボックス,〇,"検索したい宛名の法人番号を入力する
完全一致検索
m_atenaを検索し、該当するhojin_noを持つatena_noでt_tokugimuを検索、該当の情報を出力する"
7,検索する,ー,ー,ボタン,〇,入力した条件に一致する情報検索、結果を表示する
8,閉じる,ー,ー,ボタン,〇,特別徴収義務者指定モーダルを閉じる
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
