,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,
画面項目一覧表,,画面物理名,tokugimuReportsStatus,作成日,2026/7/24,,
,,画面論理名,特別徴収義務者状況照会,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,年度,検索条件エリア,t_rpt_status,nendo,テキストボックス,〇,
2,指定番号,検索条件エリア,t_tokugimu,shitei_no,テキストボックス,〇,
3,氏名/名称,検索条件エリア,m_atena,name,テキストボックス,〇,
4,施設名称,検索条件エリア,t_tokugimu,shisetsu_name,テキストボックス,〇,
5,個人番号,検索条件エリア,m_atena,kojin_no,テキストボックス,〇,
6,法人番号,検索条件エリア,m_atena,hojin_no,テキストボックス,〇,
7,検索する,検索条件エリア,ー,ー,ボタン,〇,入力した検索条件で一覧を絞り込む
8,リセット,検索条件エリア,ー,ー,ボタン,〇,入力した検索条件を破棄する
9,指定番号,状況一覧エリア,ー,ー,テーブルヘッダ,×,
10,氏名/名称,状況一覧エリア,ー,ー,テーブルヘッダ,×,
11,施設名称,状況一覧エリア,ー,ー,テーブルヘッダ,×,
12,帳票名,状況一覧エリア,m_reports,rpt_name,テーブルヘッダ,×,m_reportsのレコード数分表示
13,指定番号,状況一覧エリア,t_rpt_status,shitei_no,テーブルボディ,×,
14,氏名/名称,状況一覧エリア,m_atena,name,テーブルボディ,×,
15,施設名称,状況一覧エリア,t_tokugimu,shisetsu_name,テーブルボディ,×,
16,帳票作成日時,状況一覧エリア,t_rpt_status,create_dt,テーブルボディ,×,rpt_idで紐づけ
