,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
画面項目一覧表,,画面物理名,t_tokugimu_daicho,作成日,2026/4/16,
,,画面論理名,特別徴収義務者管理台帳,更新日,,
,,,,,,
No.,項目名,DBテーブル,DBカラム,部品の種類,有効,備考
1,指定番号,t_tokugimu,shitei_no,テキストボックス,〇,
2,氏名/名称,m_atena,name,テキストボックス,〇,
3,施設名称,t_tokugimu,shisetsu_name,テキストボックス,〇,
4,営業種別,t_tokugimu,kyoka_shu,セレクトボックス,〇,1：ホテル/2：旅館/3：簡易宿所/4：民泊/999：すべて
5,合算対象,t_gassan_uchi,"shitei_no
gassan_shitei_no",セレクトボックス,〇,1：非対象/2：対象/999：すべて
6,ステータス,t_tokugimu,"eigyo_st_ymd
eigyo_ed_ymd
kyushi_st_ymd
kyushi_ed_ymd",セレクトボックス,〇,1：営業中/2：休止/3：廃止/4：すべて
7,個人番号,m_atena,kojin_no,テキストボックス,〇,
8,法人番号,m_atena,hojin_no,テキストボックス,〇,
9,検索する,ー,ー,ボタン,〇,入力した検索条件で一覧を絞り込む
10,リセット,ー,ー,ボタン,〇,入力した検索条件を破棄する
11,新規登録,ー,ー,ボタン,〇,特別徴収義務者登録画面を表示する
12,照会,ー,ー,ボタン,〇,チェックの入ったレコードの特別徴収義務者照会画面を表示する
13,削除,ー,ー,ボタン,〇,チェックの入ったレコードの特別徴収義務者を削除する
14,納税管理人登録,ー,ー,ボタン,〇,チェックの入ったレコードの納税管理人登録画面を表示する
15,納税管理人照会,ー,ー,ボタン,〇,チェックの入ったレコードの納税管理人照会画面を表示する
16,納入金額管理台帳,ー,ー,ボタン,〇,チェックの入ったレコードの納入金額管理台帳を表示する
17,合算申告登録,ー,ー,ボタン,〇,チェックの入ったレコードの合算申告登録画面を表示する
18,合算申告照会,ー,ー,ボタン,〇,チェックの入ったレコードの合算申告照会画面を表示する
19,更生請求,ー,ー,ボタン,〇,チェックの入ったレコードの構成請求登録/編集画面を表示する
20,帳票発行,ー,ー,ボタン,〇,チェックの入ったレコードを対象とした帳票発行画面を表示する
21,チェックボックス,ー,ー,チェックボックス,〇,
22,指定番号,t_tokugimu,shitei_no,テーブルカラム,×,
23,事業所名称,t_tokugimu,shisetsu_name,テーブルカラム,×,
24,営業種別,t_tokugimu,"eigyo_st_ymd
eigyo_ed_ymd
kyushi_st_ymd
kyushi_ed_ymd",テーブルカラム,×,"各カラムの登録状況から以下のステータスを各レコードに付与
1：営業中/2：休止/3：廃止"
25,氏名/名称,m_atena,name,テーブルカラム,×,
26,合算対象,t_gassan_uchi,"shitei_no
gassan_shitei_no",テーブルカラム,×,"各カラムの登録状況から以下のステータスを各レコードに付与
1：非対象/2：対象"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
