,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
帳票項目一覧表,,帳票物理名,nonyusho,作成日,2026/6/2,
,,帳票論理名,納入書,更新日,,
,,,,,,
No.,項目名,フィールド名,DBテーブル,DBカラム,型,備考
1,自治体名,cityName,m_jichitai,name,String,
2,自治体コード,jichitaiCd,m_jichitai,jichitai_cd,String,
3,口座番号,kozaNo,m_reports_def,def_text,String,
4,加入者名,kozaName,m_reports_def,def_text,String,
5,年度,nendo,t_fuka,nendo,String,
6,申告年月,shinkokuYm,t_fuka,shinkoku_ymd,date,
7,指定番号,shiteiNo,t_fuka,shitei_no,String,
8,税額,zeigaku,t_fuka,zeigaku,String,
9,延滞金,entai,ー,ー,String,画面入力値を設定
10,加算額,kasan,t_fuka,kasan_gaku,String,
11,合計額,gokei,t_fuka,total_zeigaku,String,
12,納期限,nokigen,t_fuka,nokigen,date,
13,特別徴収義務者住所(所在地),tokuJusho,m_atena,"yubin_no
jusho",String,郵便番号と住所を連結して設定
14,特別徴収義務者氏名(名称),tokuName,m_atena,name,String,
15,納入場所,nonyuBasho,m_reports_def,def_text,String,
16,指定金融機関名,shiteiKinyuName,m_reports_def,def_text,String,
17,取りまとめ店,torimatome,m_reports_def,def_text,String,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
