,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,,作成者,亀井
画面項目一覧表,,画面物理名,m_nozei_shuki_config,,作成日,2026/4/23
,,画面論理名,納税周期登録/編集,,更新日,
,,,,,,
No.,DBテーブル名,カラム名,画面項目名,更新条件,備考,
1,m_nozei_shuki,jichitai_cd,ー,ー,編集不可,
2,m_nozei_shuki,seq,ー,ー,自動採番、編集不可,
3,m_nozei_shuki,shuki,納税周期,ー,,
4,m_nozei_shuki,del_flg,ー,削除ボタンを押した場合に更新する,１が入っている場合に論理削除対象レコードであることを表す,
5,m_nozei_shuki,add_dt,ー,ー,編集不可,
6,m_nozei_shuki,add_user,ー,ー,ユーザ管理マスタのid、編集不可,
7,m_nozei_shuki,upd_dt,ー,ー,,
8,m_nozei_shuki,upd_user,ー,ー,ユーザ管理マスタのid,
9,m_nozei_shuki,version,ー,ー,,
