,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,,,,
画面項目一覧表,,画面物理名,jichitaiList.html,作成日,2026/9/1,,,,,
,,画面論理名,自治体情報一覧,更新日,,,,,,
,,,,,,,,,,
No.,項目名,エリア,DBテーブル名,テーブルカラム名,部品の種類,有効,備考,事前操作,バリデーション,テスト結果
1,画面タイトル,ヘッダー,ー,ー,ラベル,×,自治体情報一覧(サイドメニュー名と一致すること),ー,ー,
2,検索結果,ヘッダー,ー,ー,ラベル,×,"検索実行後に表示される
検索結果：〇件の形式",ー,ー,
3,自治体コード,検索条件,m_jichitai,jichitai_cd,テキストボックス,〇,,ー,ー,
4,自治体名称,検索条件,m_jichitai,name,テキストボックス,〇,検索方法が選択できること,ー,ー,
5,検索方法,検索条件,ー,ー,ラジオボタン,〇,"前方/部分/完全から選択する
デフォルトは部分",ー,ー,
6,自治体種別,検索条件,m_jichitai,kbn_name,テキストボックス,〇,検索方法が選択できること,ー,ー,
7,検索方法,検索条件,ー,ー,ラジオボタン,〇,"前方/部分/完全から選択する
デフォルトは部分",ー,ー,
8,検索条件初期化,検索条件,ー,ー,ボタン,〇,"入力した検索条件をクリアする
クリアした条件による検索処理は行わない",ー,ー,
9,検索する,検索条件,ー,ー,ボタン,〇,"入力した条件で検索する
入力が何もない場合は全件取得",ー,ー,
10,新規登録,ー,ー,ー,ボタン,〇,"新規登録画面を表示する
初期遷移時は非表示",jichitaiConfig.htmlの編集権限があること,ー,
11,ページネーション,ー,ー,ー,ページネーション,〇,"common.jsの共通部品を使用したクライアントサイドのページネーション
初期遷移時は非表示",ー,ー,
12,表示件数,ー,ー,ー,セレクタ,〇,"10/50/100から選択可能
初期表示時は非表示",ー,ー,
13,自治体コード,情報一覧,m_jichitai,jichitai_cd,テーブルカラム,×,初期遷移時は非表示,ー,ー,
14,自治体名称,情報一覧,m_jichitai,name,テーブルカラム,×,初期遷移時は非表示,ー,ー,
15,自治体種別,情報一覧,m_jichitai,kbn_name,テーブルカラム,×,初期遷移時は非表示,ー,ー,
16,クエリパラメーター,情報一覧,m_jichitai,param,テーブルカラム,×,初期遷移時は非表示,ー,ー,
17,登録年月日,情報一覧,m_jichitai,add_dt,テーブルカラム,×,初期遷移時は非表示,ー,ー,
18,登録者,情報一覧,m_jichitai,add_user,テーブルカラム,×,初期遷移時は非表示,ー,ー,
19,照会,情報一覧,ー,ー,ボタン,〇,"初期遷移時は非表示
レコードごとに表示
該当レコードの照会画面に遷移する",jichitaiConfig.htmlの照会権限があること,ー,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
