,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,
画面項目一覧表,,画面物理名,jichitaiConfig,作成日,2026/7/23,,
,,画面論理名,自治体情報設定,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,自治体コード,自治体情報エリア,m_jichitai,jichitai_cd,テキストボックス,○,
2,自治体名称,自治体情報エリア,m_jichitai,name,テキストボックス,○,
3,自治体種別名,自治体情報エリア,m_jichitai,kbn_name,テキストボックス,○,
4,年度開始月,納税関連情報エリア,m_jichitai,nendo_st_month,セレクタ,○,1～12から選択する
5,デフォルト納税周期,納税関連情報エリア,m_jichitai,nozei_shuki,セレクタ,○,1:毎月/3:3ヶ月のいずれかを選択
6,指定番号,採番情報エリア,m_jichitai,shitei_st_char,テキストボックス,○,
7,合算指定番号,採番情報エリア,m_jichitai,gassan_st_char,テキストボックス,○,
8,宛名番号,採番情報エリア,m_jichitai,atena_st_no,テキストボックス,○,
9,登録する,ボタンエリア,ー,ー,ボタン,〇,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
