,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,
画面項目一覧表,,画面物理名,sofusakiCsv,作成日,2026/8/6,,
,,画面論理名,送付先CSV出力,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,csv出力,ー,ー,ー,ボタン,〇,"チェックの付いたレコードの送付先情報をCSVファイルに出力
一覧テーブル上部の左端に配置"
2,ページネーション,ー,ー,ー,ページネーション,〇,一覧テーブル上部の中央に配置
3,表示件数セレクタ,ー,ー,ー,セレクタ,〇,"10/50/100件を選択可能
デフォルトは10件
一覧テーブル上部の右端に配置"
4,チェックボックス,一覧テーブル,ー,ー,チェックボックス,〇,"テーブルヘッダーと各レコードに配置
テーブルヘッダーは画面表示レコードの全件選択/解除
デフォルトは全選択"
5,指定番号,一覧テーブル,t_reports_log,shitei_no,テーブルカラム,×,
6,氏名/名称,一覧テーブル,"t_tokugimu
m_atena","atena_no
name",テーブルカラム,×,指定番号に紐づく宛名番号の氏名/名称
7,印刷日時,一覧テーブル,t_reports_log,ope_dt,テーブルカラム,×,操作カラムの値が3のレコードが対象
8,帳票名,一覧テーブル,t_reports_log,rpt_id,テーブルカラム,×,m_reportsをrpt_idで検索してrpt_nameを表示
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
