,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,斉藤,,
画面項目一覧表,,画面物理名,t_eltax_renkei,作成日,2026/4/23,,
,,画面論理名,電子申告情報取込,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,取込ファイル,ファイル選択エリア,ー,ー,テキストボックス,×,リードオンリー
2,参照,ファイル選択エリア,ー,ー,ボタン,〇,ファイル選択ダイアログを表示
3,ファイル名,取込済みファイル一覧エリア,t_eltax_renkei,file_name,テキストボックス,×,リードオンリー
4,様式,取込済みファイル一覧エリア,t_eltax_renkei,shubetsu,テキストボックス,×,リードオンリー
5,処理日時,取込済みファイル一覧エリア,t_eltax_renkei,"shori_dt
hojin_no",テキストボックス,×,リードオンリー
6,取込内容確認,ー,ー,ー,ボタン,〇,
7,ダウンロード,ー,ー,ー,ボタン,〇,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
