,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,斉藤,,
画面項目一覧表,,画面物理名,t_eltax_renkei_kakunin,作成日,2026/4/27,,
,,画面論理名,電子申告情報取込確認,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,指定番号,施設情報エリア,t_tokugimu,shitei_no,テキストボックス,×,リードオンリー
2,施設名称,施設情報エリア,t_tokugimu,shisetsu_name,ボタン,〇,ファイル選択ダイアログを表示
3,施設住所,施設情報エリア,t_tokugimu,shisetsu_jusho,テキストボックス,×,リードオンリー
4,特別徴収義務者名称,施設情報エリア,m_atena,name,テキストボックス,×,リードオンリー
5,特別徴収義務者住所,施設情報エリア,m_atena,jusho,テキストボックス,×,リードオンリー
6,項目名,取込ファイル情報エリア,ー,ー,テキストボックス,×,リードオンリー
7,更新前情報,取込ファイル情報エリア,ー,ー,テキストボックス,×,リードオンリー
8,取込情報,取込ファイル情報エリア,ー,ー,テキストボックス,×,リードオンリー
9,戻る,ー,ー,ー,ボタン,〇,電子申告情報取込画面に戻る
10,取込,ー,ー,ー,ボタン,〇,CSVファイルを取り込む
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
